CPU,ATRam,ATStorage,Internet
0.009,0.8666666667,0.7434497817,1000
0.025,0.7297297297,0.6724137931,100
0.008,0.7534246575,0.724137931,1000
0.008,0.3230769231,0.5423728814,100
0.045,0.5897435897,0.11,1000
0.049,0.8205128205,0.2533333333,100
0.037,0.8205128205,0.008933333333,1000
0.008,0.7586206897,0.2282051282,10000
0.009,0.8448275862,0.1103448276,10000
0.02,0.8448275862,0.2244897959,10000
0.025,0.8620689655,0.1103448276,10000
0.011,0.8448275862,0.1795918367,10000
0.002,0.8965517241,0.1517241379,10000
0.005,0.8620689655,0.1655172414,10000
0.006,0.8793103448,0.2244897959,1000
0.005,0.8620689655,0.1724137931,10000
0.103,0.6896551724,0.06206896552,10000
0.138,0.8717948718,0.4576271186,1000


